linea 139 la orden de produccion DF-1344	 con rangos 185522 y 185522 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1533 09/01/2013
linea 140 la orden de produccion DF-1345	 con rangos 185357 y 185353 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1575 09/01/2013
linea 141 la orden de produccion DF-1346	 con rangos 185369 y 185367 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1480 09/01/2013
linea 142 la orden de produccion DF-1347	 con rangos 185384 y 185377 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1499 09/01/2013
linea 143 la orden de produccion DF-1348	 con rangos 185405 y 185394 se recopilan 0 series de 12 de la orden con modelo PCGHIA-1476 09/01/2013
linea 144 la orden de produccion DF-1349	 con rangos 185413 y 185410 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1484 09/01/2013
linea 145 la orden de produccion OC-8111	 con rangos 185466 y 185417 se recopilan 0 series de 50 de la orden con modelo PCGHIA-1578 09/01/2013
linea 146 la orden de produccion OC-8114	 con rangos 185352 y 185348 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1575 09/01/2013
linea 147 la orden de produccion OC-8115	 con rangos 185521 y 185517 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1533 09/01/2013
linea 148 la orden de produccion OC-8116	 con rangos 185393 y 185391 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1499 09/01/2013
linea 149 la orden de produccion OC-8117	 con rangos 185302 y 185302 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1503 09/01/2013
linea 150 la orden de produccion OC-8120	 con rangos 185304 y 185303 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1485 09/01/2013
linea 151 la orden de produccion OC-8121	 con rangos 185334 y 185305 se recopilan 0 series de 30 de la orden con modelo PCGHIA-1359 09/01/2013
linea 152 la orden de produccion OC-8122	 con rangos 185347 y 185335 se recopilan 0 series de 13 de la orden con modelo PCGHIA-1575 09/01/2013
linea 153 la orden de produccion OC-8123	 con rangos 185366 y 185359 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1480 09/01/2013
linea 154 la orden de produccion OC-8124	 con rangos 185390 y 185385 se recopilan 0 series de 6 de la orden con modelo PCGHIA-1499 09/01/2013
linea 155 la orden de produccion OC-8125	 con rangos 185409 y 185406 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1476 09/01/2013
linea 156 la orden de produccion OC-8126	 con rangos 185416 y 185414 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1484 09/01/2013
linea 157 la orden de produccion OC-8128	 con rangos 185376 y 185376 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1524 09/01/2013
linea 158 la orden de produccion OC-8129	 con rangos 185374 y 185370 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1574 09/01/2013
linea 159 la orden de produccion OC-8130	 con rangos 185375 y 185375 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1554 09/01/2013
linea 160 la orden de produccion OC-8127	 con rangos 185530 y 185523 se recopilan 0 series de 8 de la orden con modelo PCGHIA-1575 10/01/2013
linea 161 la orden de produccion OC-8131	 con rangos 185574 y 185572 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1535 10/01/2013
linea 162 la orden de produccion OC-8132	 con rangos 185541 y 185531 se recopilan 0 series de 11 de la orden con modelo PCGHIA-1480 10/01/2013
linea 163 la orden de produccion OC-8133	 con rangos 185555 y 185542 se recopilan 0 series de 14 de la orden con modelo PCGHIA-1476 10/01/2013
linea 164 la orden de produccion OC-8134	 con rangos 185567 y 185561 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1484 10/01/2013
linea 165 la orden de produccion OC-8135	 con rangos 185571 y 185568 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1575 10/01/2013
linea 166 la orden de produccion OC-8136	 con rangos 185581 y 185580 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1476 10/01/2013
linea 167 la orden de produccion OC-8138	 con rangos 185588 y 185582 se recopilan 0 series de 7 de la orden con modelo PCGHIA-1575 10/01/2013
linea 168 la orden de produccion OC-8140	 con rangos 185590 y 185589 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1533 10/01/2013
linea 169 la orden de produccion OC-8144	 con rangos 185591 y 185591 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1533 10/01/2013
linea 170 la orden de produccion DF-1350	 con rangos 185560 y 185556 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1476 10/01/2013
linea 171 la orden de produccion DF-1353	 con rangos 185579 y 185575 se recopilan 0 series de 5 de la orden con modelo PCGHIA-1476 10/01/2013
linea 172 la orden de produccion DF-1355	 con rangos 185599 y 185597 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1476 11/01/2013
linea 173 la orden de produccion DF-1357	 con rangos 185610 y 185610 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1575 11/01/2013
linea 174 la orden de produccion OC-8146	 con rangos 185593 y 185592 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1533 11/01/2013
linea 175 la orden de produccion OC-8147	 con rangos 185596 y 185594 se recopilan 0 series de 3 de la orden con modelo PCGHIA-1476 11/01/2013
linea 176 la orden de produccion OC-8148	 con rangos 185609 y 185600 se recopilan 0 series de 10 de la orden con modelo PCGHIA-1575 11/01/2013
linea 177 la orden de produccion OC-8153	 con rangos 185611 y 185611 se recopilan 0 series de 1 de la orden con modelo PCGHIA-1567 11/01/2013
linea 178 la orden de produccion OC-8149	 con rangos 185615 y 185612 se recopilan 0 series de 4 de la orden con modelo PCGHIA-1588 12/01/2013
linea 179 la orden de produccion OC-8150	 con rangos 185627 y 185626 se recopilan 0 series de 2 de la orden con modelo PCGHIA-1476 12/01/2013
